page	rotation
03_270v	0
03_271r	0
03_271v	0
03_272r	0
03_272v	0
03_273r	0
03_273v	0
03_274r	0
03_274v	0
03_275r	0
03_275v	0
03_276r	0
03_276v	0
03_277r	0
03_277v	0
03_278r	0
03_278v	0
03_279r	0
03_279v	270
03_280r	0
03_280v	270
03_281r	0
03_281v	0
03_282r	0
03_282v	0
03_283r	0
03_283v	0
03_284r	0
03_284v	270
03_285r	0
03_285v	0
03_286r	0
03_286v	0
03_287r	0
03_287v	0
03_288r	0
03_288v	270
03_289r	0
03_289v	0
03_290r	0
03_290v	270
03_291r	0
03_291v	0
03_292r	0
03_292v	0
03_293r	0
03_293v	0
03_294r	0
03_294v	270
03_295r	0
03_295v	0
03_296r	0
03_296v	0
03_297r	0
03_297v	0
03_298r	0
03_298v	0
03_299r	0
03_299v	0
03_300r	0
03_300v	270
03_301r	0
03_301v	0
03_302r	0
03_302v	0
03_303r	0
03_303v	0
03_304r	0
03_304v	0
03_305r	0
03_305v	270
03_306r	0
03_306v	270
03_307r	0
03_307v	0
03_308r	0
03_308v	0
03_309r	0
03_309v	0
03_310r	0
03_310v	270
03_311r	0
03_311v	0
03_312r	0
03_312v	0
03_313r	0
03_313v	0
03_314r	0
03_314v	0
03_315r	0
03_315v	0
03_316r	0
03_316v	0
03_317r	0
03_317v	0
03_318r	0
03_318v	270
03_319r	0
03_319v	270
03_320r	0
03_320v	0
03_321r	0
03_321v	0
03_322r	0
03_322v	0
03_323r	0
03_323v	270
03_324r	0
03_324v	0
03_325r	0
03_325v	0
03_326r	0
03_326v	0
03_327r	0
03_327v	0
03_328r	0
03_328v	270
03_329r	0
03_329v	0
03_330r	0
03_330v	270
04_001r	0
04_001v	0
04_002r	0
04_002v	0
04_003r	0
04_003v	0
04_004r	0
04_004v	0
04_005r	0
04_005v	270
04_006r	0
04_006v	0
04_007r	0
04_007v	0
04_008r	0
04_008v	0
04_009r	0
04_009v	0
04_010r	0
04_010v	0
04_011r	0
04_011v	0
04_012r	0
04_012v	0
04_013r	0
04_013v	270
04_014r	0
04_014v	0
04_015r	0
04_015v	0
04_016r	0
04_016v	0
04_017r	0
04_017v	0
04_018r	0
04_018v	0
04_019r	0
04_019v	0
04_020r	0
04_020v	0
04_021r	0
04_021v	0
04_022r	0
04_022v	0
04_023r	0
04_023v	270
04_024r	0
04_024v	0
04_025r	0
04_025v	90
04_026r	0
04_026v	270
04_027r	0
04_027v	270
04_028r	0
04_028v	0
04_029r	0
04_029v	0
04_030r	0
04_030v	0
04_031r	0
04_031v	0
04_032r	0
04_032v	270
04_033r	0
04_033v	270
04_034r	0
04_034v	0
04_035r	0
04_035v	0
04_036r	0
04_036v	0
04_037r	0
04_037v	0
04_038r	0
04_038v	270
04_039r	0
04_039v	270
04_040r	0
04_040v	0
04_041r	0
04_041v	0
04_042r	0
04_042v	0
04_043r	0
04_043v	0
04_044r	0
04_044v	0
04_045r	0
04_045v	0
04_046r	0
04_046v	0
04_047r	0
04_047v	270
04_048r	0
04_048v	0
04_049r	0
04_049v	0
04_050r	0
04_050v	0
04_051r	0
04_051v	0
04_052r	0
04_052v	0
04_053r	0
04_053v	0
04_054r	0
04_054v	0
04_055r	0
04_055v	0
04_056r	0
04_056v	0
04_057r	0
04_057v	0
04_058r	0
04_058v	0
04_059r	0
04_059v	0
04_060r	0
04_060v	0
04_061r	0
04_061v	0
04_062r	0
04_062v	0
04_063r	0
04_063v	0
04_064r	0
04_064v	0
04_065r	0
04_065v	0
04_066r	0
04_066v	0
04_067r	0
04_067v	270
04_068r	0
04_068v	0
04_069r	0
04_069v	0
04_070r	0
04_070v	0
04_071r	0
04_071v	0
04_072r	0
04_072v	0
04_073r	0
04_073v	0
04_074r	0
04_074v	270
04_075r	0
04_075v	0
04_076r	0
04_076v	270
04_077r	0
04_077v	90
04_078r	0
04_078v	0
04_079r	0
04_079v	0
04_080r	0
04_080v	0
04_081r	0
04_081v	0
04_082r	0
04_082v	90
04_083r	0
04_083v	0
04_084r	0
04_084v	0
04_085r	0
04_085v	0
04_086r	0
04_086v	0
04_087r	0
04_087v	0
04_088r	0
04_088v	0
04_089r	0
04_089v	0
04_090r	0
04_090v	0
04_091r	0
04_091v	0
04_092r	0
04_092v	0
04_093r	0
04_093v	0
04_094r	0
04_094v	0
04_095r	0
04_095v	0
04_096r	0
04_096v	0
04_097r	0
04_097v	0
04_098r	0
04_098v	270
04_099r	0
04_099v	0
04_100r	0
04_100v	0
04_101r	0
04_101v	0
04_102r	0
04_102v	0
04_103r	0
04_103v	0
04_104r	0
04_104v	0
04_105r	0
04_105v	0
04_106r	0
04_106v	0
04_107r	0
04_107v	0
04_108r	0
04_108v	0
04_109r	0
04_109v	0
04_110r	0
04_110v	0
04_111r	0
04_111v	0
04_112r	0
04_112v	0
04_113r	0
04_113v	0
04_114r	0
04_114v	0
04_115r	0
04_115v	0
04_116r	0
04_116v	0
04_117r	0
04_117v	0
04_118r	0
04_118v	0
04_119r	0
04_119v	0
04_120r	0
04_120v	0
04_121r	0
04_121v	0
04_122r	0
04_122v	0
04_123r	0
04_123v	0
04_124r	0
04_124v	0
04_125r	0
04_125v	0
04_126r	0
04_126v	0
04_127r	0
04_127v	0
04_128r	0
04_128v	0
04_129r	0
04_129v	0
04_130r	0
04_130v	0
04_131r	0
04_131v	0
04_132r	0
04_132v	0
04_133r	0
04_133v	0
04_134r	0
04_134v	270
04_135r	0
04_135v	0
04_136r	0
04_136v	0
04_137r	0
04_137v	0
04_138r	0
04_138v	0
04_139r	0
04_139v	270
04_140r	0
04_140v	0
04_141r	0
04_141v	0
04_142r	0
04_142v	0
04_143r	0
04_143v	270
04_144r	0
04_144v	0
04_145r	0
04_145v	0
04_146r	0
04_146v	0
04_147r	0
04_147v	0
04_148r	0
04_148v	0
04_149r	0
04_149v	0
04_150r	0
04_150v	0
04_151r	0
04_151v	0
04_152r	0
04_152v	270
04_153r	0
04_153v	0
04_154r	0
04_154v	0
04_155r	0
04_155v	0
04_156r	0
04_156v	0
04_157r	0
04_157v	0
04_158r	0
04_158v	0
04_159r	0
04_159v	0
04_160r	0
04_160v	0
04_161r	0
04_161v	0
04_162r	0
04_162v	0
04_163r	0
04_163v	270
04_164r	0
04_164v	0
04_165r	0
04_165v	0
04_166r	0
04_166v	0
04_167r	0
04_167v	0
04_168r	0
04_168v	0
04_169r	0
04_169v	0
04_170r	0
04_170v	0
04_171r	0
04_171v	270
04_172r	0
04_172v	0
04_173r	0
04_173v	0
04_174r	0
04_174v	0
04_175r	0
04_175v	0
04_176r	0
04_176v	0
04_177r	0
04_177v	0
04_178r	0
04_178v	0
04_179r	0
04_179v	0
04_180r	0
04_180v	0
04_181r	0
04_181v	0
04_182r	0
04_182v	0
04_183r	0
04_183v	0
04_184r	0
04_184v	0
04_185r	0
04_185v	0
04_186r	0
04_186v	0
04_187r	0
04_187v	0
04_188r	0
04_188v	0
04_189r	0
04_189v	0
04_190r	0
04_190v	0
04_191r	0
04_191v	0
04_192r	0
04_192v	270
04_193r	0
04_193v	0
04_194r	0
04_194v	0
04_195r	0
04_195v	0
04_196r	0
04_196v	0
04_197r	0
04_197v	0
04_198r	0
04_198v	0
04_199r	0
04_199v	0
04_200r	0
04_200v	0
04_201r	0
04_201v	0
04_202r	0
04_202v	0
04_203r	0
04_203v	270
04_204r	0
04_204v	0
04_205r	0
04_205v	0
04_206r	0
04_206v	0
04_207r	0
04_207v	0
04_208r	0
04_208v	0
04_209r	0
04_209v	0
04_210r	0
04_210v	0
04_211r	0
04_211v	0
04_212r	0
04_212v	0
04_213r	0
04_213v	0
04_214r	0
04_214v	0
04_215r	0
04_215v	0
04_216r	0
04_216v	0
04_217r	0
04_217v	0
04_218r	0
04_218v	0
04_219r	0
04_219v	0
04_220r	0
04_220v	0
04_221r	0
04_221v	0
04_222r	0
04_222v	0
04_223r	0
04_223v	0
04_224r	0
04_224v	0
04_225r	0
04_225v	0
04_226r	0
04_226v	0
04_227r	0
04_227v	0
04_228r	0
04_228v	0
04_229r	0
04_229v	0
04_230r	0
04_230v	0
04_231r	0
04_231v	0
04_232r	0
04_232v	0
04_233r	0
04_233v	0
04_234r	0
04_234v	0
04_235r	0
04_235v	0
04_236r	0
04_236v	0
04_237r	0
04_237v	0
04_238r	0
04_238v	0
04_239r	0
04_239v	0
04_240r	0
04_240v	0
04_241r	0
04_241v	0
04_242r	0
04_242v	0
04_243r	0
04_243v	0
04_244r	0
04_244v	0
04_245r	0
04_245v	0
04_246r	0
04_246v	270
04_247r	0
04_247v	0
04_248r	0
04_248v	0
04_249r	0
04_249v	0
04_250r	0
04_250v	0
04_251r	0
04_251v	0
04_252r	0
04_252v	0
04_253r	0
04_253v	0
04_254r	0
04_254v	0
04_255r	0
04_255v	0
04_256r	0
04_256v	0
04_257r	0
04_257v	0
04_258r	0
04_258v	0
04_259r	0
04_259v	0
04_260r	0
04_260v	0
04_261r	0
04_261v	0
04_262r	0
04_262v	0
04_263r	0
04_263v	0
04_264r	0
04_264v	90
04_265r	0
04_265v	270
04_266r	0
04_266v	0
04_267r	0
04_267v	0
04_268r	0
04_268v	0
04_269r	0
04_269v	0
04_270r	0
04_270v	0
04_271r	0
04_271v	0
04_272r	0
04_272v	0
04_273r	0
04_273v	270
04_274r	0
04_274v	0
04_275r	0
04_275v	0
04_276r	0
04_276v	0
04_277r	0
04_277v	0
04_278r	0
04_278v	0
04_279r	0
04_279v	0
04_280r	0
04_280v	0
04_281r	0
04_281v	0
04_282r	0
04_282v	0
04_283r	0
04_283v	0
04_284r	0
04_284v	270
04_285r	0
04_285v	0
04_286r	0
04_286v	270
04_287r	0
04_287v	0
04_288r	0
04_288v	270
04_289r	0
04_289v	0
04_290r	0
04_290v	0
04_291r	0
04_291v	0
04_292r	0
04_292v	0
04_293r	0
04_293v	0
04_294r	0
04_294v	0
04_295r	0
04_295v	0
04_296r	0
04_296v	270
04_297r	0
04_297v	0
04_298r	0
04_298v	0
04_299r	0
04_299v	0
04_300r	0
04_300v	0
04_301r	0
04_301v	0
04_302r	0
04_302v	0
04_303r	0
04_303v	90
04_304r	0
04_304v	0
04_305r	0
04_305v	0
04_306r	0
04_306v	0
04_307r	0
04_307v	0
04_308r	0
04_308v	0
04_309r	0
04_309v	0
04_310r	0
04_310v	0
04_311r	0
04_311v	0
04_312r	0
04_312v	0
04_313r	0
04_313v	0
04_314r	0
04_314v	0
04_315r	0
04_315v	0
04_316r	0
04_316v	0
04_317r	0
04_317v	0
04_318bisr	0
04_318bisv	0
04_318r	0
04_318v	0
04_319r	0
04_319v	0
04_320r	0
04_320v	0
04_321r	0
04_321v	0
04_322r	0
04_322v	0
04_323r	0
04_323v	0
04_324r	0
04_324v	0
04_325r	0
04_325v	0
04_326r	0
04_326v	0
04_327r	0
04_327v	0
04_328r	0
04_328v	0
04_329r	0
04_329v	0
04_330r	0
04_330v	90
04_331r	0
04_331v	0
04_332r	0
04_332v	0
04_333r	0
04_333v	0
04_334r	0
04_334v	0
04_335r	0
04_335v	0
04_336r	0
04_336v	0
04_337r	0
04_337v	270
04_338r	0
04_338v	0
04_339r	0
04_339v	0
04_340r	0
04_340v	0
04_341r	0
04_341v	0
04_342r	0
04_342v	0
04_343r	0
04_343v	0
04_344r	0
04_344v	0
04_345r	0
04_345v	0
04_346r	0
04_346v	0
04_347r	0
04_347v	0
04_348r	0
04_348v	0
04_349r	0
04_349v	0
04_350r	0
04_350v	0
04_351r	0
04_351v	0
04_352r	0
04_352v	270
04_353r	0
04_353v	0
04_354r	0
04_354v	0
04_355r	0
04_355v	0
04_356r	0
04_356v	0
04_357r	0
04_357v	0
04_358r	0
04_358v	270
04_359r	0
04_359v	0
04_360r	0
04_360v	0
04_361r	0
04_361v	0
04_362r	0
04_362v	0
04_363r	0
04_363v	0
04_364r	0
04_364v	0
04_365r	0
04_365v	0
04_366r	0
04_366v	0
04_367r	0
04_367v	0
04_368r	0
04_368v	0
04_369r	0
04_369v	0
04_370r	0
04_370v	0
04_371r	0
04_371v	0
04_372r	0
04_372v	0
04_373r	0
04_373v	0
04_374r	0
04_374v	270
04_375r	0
04_375v	0
04_376r	0
04_376v	0
04_377r	0
04_377v	0
04_378r	0
04_378v	0
04_379r	0
04_379v	0
04_380r	0
04_380v	0
04_381r	0
04_381v	0
04_382r	0
04_382v	0
04_383r	0
04_383v	0
04_384r	0
04_384v	0
04_385r	0
04_385v	270
04_386r	0
04_386v	0
04_387r	0
04_387v	0
04_388r	0
04_388v	0
04_389r	0
04_389v	0
04_390r	0
04_390v	0
04_391r	0
04_391v	0
04_392r	0
04_392v	0
04_393bisr	0
04_393bisv	0
04_393r	0
04_393v	0
04_394r	0
04_394v	0
04_395r	0
04_395v	0
04_396r	0
04_396v	0
04_397r	0
04_397v	0
04_398r	0
04_398v	0
04_399r	0
04_399v	0
04_400bisr	0
04_400bisv	0
04_400r	0
04_400v	0
05_001r	0
05_001v	0
05_002r	0
05_002v	0
05_003r	0
05_003v	0
05_004r	0
05_004v	0
05_005r	0
05_005v	0
05_006r	0
05_006v	0
05_007r	0
05_007v	0
05_008r	0
05_008v	0
05_009r	0
05_009v	270
05_010r	0
05_010v	0
05_011r	0
05_011v	0
05_012r	0
05_012v	0
05_013r	0
05_013v	0
05_014r	0
05_014v	0
05_015r	0
05_015v	0
05_016r	0
05_016v	0
05_017r	0
05_017v	0
05_018r	0
05_018v	0
05_019r	0
05_019v	0
05_020r	0
05_020v	270
05_021r	0
05_021v	270
05_022r	0
05_022v	0
05_023r	0
05_023v	0
05_024r	0
05_024v	0
05_025r	0
05_025v	0
05_026r	0
05_026v	270
05_027r	0
05_027v	0
05_028r	0
05_028v	0
05_029r	0
05_029v	0
05_030r	0
05_030v	0
05_031r	0
05_031v	0
05_032r	0
05_032v	0
05_033r	0
05_033v	0
05_034r	0
05_034v	0
05_035r	0
05_035v	0
05_036r	0
05_036v	0
05_037r	0
05_037v	0
05_038r	0
05_038v	0
05_039r	0
05_039v	0
05_040r	0
05_040v	0
05_041r	0
05_041v	0
05_042r	0
05_042v	0
05_043r	0
05_043v	0
05_044r	0
05_044v	0
05_045r	0
05_045v	0
05_046r	0
05_046v	0
05_047r	0
05_047v	0
05_048r	0
05_048v	0
05_049r	0
05_049v	0
05_050r	0
05_050v	0
05_051r	0
05_051v	0
05_052r	0
05_052v	270
05_053r	0
05_053v	0
05_054r	0
05_054v	270
05_055r	0
05_055v	0
05_056r	0
05_056v	270
05_057r	0
05_057v	270
05_058r	0
05_058v	0
05_059r	0
05_059v	0
05_060r	0
05_060v	0
05_061r	0
05_061v	0
05_062r	0
05_062v	0
05_063r	0
05_063v	0
05_064r	0
