filza	page	status	trans	scan
02	184v	OK	yes	yes
02	185r	OK	yes	yes
02	185v	OK	yes	yes
02	186r	OK	yes	yes
02	186v	OK	yes	yes
02	187r	OK	yes	yes
02	187v	OK	yes	yes
02	188r	OK	yes	yes
02	188v	OK	yes	yes
02	189r	OK	yes	yes
02	189v	OK	yes	yes
02	190r	OK	yes	yes
02	190v	OK	yes	yes
02	191r	OK	yes	yes
02	191v	OK	yes	yes
02	192r	OK	yes	yes
02	192v	OK	yes	yes
02	193r	OK	yes	yes
02	193v	OK	yes	yes
02	194r	OK	yes	yes
02	194v	OK	yes	yes
02	195r	OK	yes	yes
02	195v	OK	yes	yes
02	196r	OK	yes	yes
02	196v	OK	yes	yes
02	197r	OK	yes	yes
02	197v	OK	yes	yes
02	198r	OK	yes	yes
02	198v	OK	yes	yes
02	199r	OK	yes	yes
02	199v	OK	yes	yes
02	200r	OK	yes	yes
02	200v	OK	yes	yes
02	201r	OK	yes	yes
02	201v	OK	yes	yes
03	001r	OK	yes	yes
03	001v	OK	yes	yes
03	002r	OK	yes	yes
03	002v	OK	yes	yes
03	003r	OK	yes	yes
03	003v	OK	yes	yes
03	004r	OK	yes	yes
03	004v	OK	yes	yes
03	005r	OK	yes	yes
03	005v	OK	yes	yes
03	006r	OK	yes	yes
03	006v	OK	yes	yes
03	007r	OK	yes	yes
03	007v	OK	yes	yes
03	008r	OK	yes	yes
03	008v	OK	yes	yes
03	009r	OK	yes	yes
03	009v	OK	yes	yes
03	010r	OK	yes	yes
03	010v	OK	yes	yes
03	011r	OK	yes	yes
03	011v	OK	yes	yes
03	012r	OK	yes	yes
03	012v	OK	yes	yes
03	013r	OK	yes	yes
03	013v	OK	yes	yes
03	014r	OK	yes	yes
03	014v	OK	yes	yes
03	015r	OK	yes	yes
03	015v	OK	yes	yes
03	016r	OK	yes	yes
03	016v	OK	yes	yes
03	017r	OK	yes	yes
03	017v	OK	yes	yes
03	018r	OK	yes	yes
03	018v	OK	yes	yes
03	019r	OK	yes	yes
03	019v	OK	yes	yes
03	020r	OK	yes	yes
03	020v	OK	yes	yes
03	021r	OK	yes	yes
03	021v	OK	yes	yes
03	022r	OK	yes	yes
03	022v	OK	yes	yes
03	023r	OK	yes	yes
03	023v	OK	yes	yes
03	024r	OK	yes	yes
03	024v	OK	yes	yes
03	025r	OK	yes	yes
03	025v	OK	yes	yes
03	026r	OK	yes	yes
03	026v	OK	yes	yes
03	027r	OK	yes	yes
03	027v	OK	yes	yes
03	028r	OK	yes	yes
03	028v	OK	yes	yes
03	029r	OK	yes	yes
03	029v	OK	yes	yes
03	030r	OK	yes	yes
03	030v	OK	yes	yes
03	031r	OK	yes	yes
03	031v	OK	yes	yes
03	032r	OK	yes	yes
03	032v	OK	yes	yes
03	033r	OK	yes	yes
03	033v	OK	yes	yes
03	034r	OK	yes	yes
03	034v	OK	yes	yes
03	035r	OK	yes	yes
03	035v	OK	yes	yes
03	036r	OK	yes	yes
03	036v	OK	yes	yes
03	037r	OK	yes	yes
03	037v	OK	yes	yes
03	038r	OK	yes	yes
