row	trigger	variant	occurences
764	don Inigo	don Inico	11x3
768	don Gonzal di Cordova	don Gonzal de Cordova	10x1
768	don Gonzal di Cordova	don Gonzal de Cordova	11x1
768	don Gonzal di Cordova	don Gonzales di Cordova	11x2
768	Don Gonzal di Cordova	Don Gonzalez di Cordova	11x1
774	capitan Tomas Viller	capitan Tomas Ziller	11x1
779	Chichiester	Chichester	11x7
779	Chichiester	Chiester	10x1
779	baron Chichiester	baron Chicester	11x1
788	secretario Veis	secretario Vers	12x1
790	un figliolo maschio	un figliol maschio	09x1
793	fratello di lui	tello di lui	11x1
806	capitano Hornech	capitano Ornech	11x1
806	capitano Hornech	capitan Hornech	10x1
806	capitano Hornech	capitan Hornech	11x4
806	capitano Hornet	capitan Hornet	10x1
808	conte di Svartzembergh	conte di Swarzembergh	11x1
808	conte di Svart Zembergh	conte di Suvart Zembergh	10x1
810	Baglioni	Baglione	11x1
812	Grabendon	Grabendonc	11x1
812	Grabendon	Gravendon	11x1
823	capitan Corbun	capitan Cobrun	12x1
823	capitan Corbun	capitano Corbun	12x1
827	Riou	Rio	12x1
830	deputato della Rocella	deputati della Rocella	10x2
838	colonello Navi	colonel Navi	11x1
854	Ognati	Ognate	10x10
854	Ognati	Ognat	12x1
856	Clas Hendrichson	Clas Henrichson	10x2
858	Antonio Plouvier	Antonio Plovier	10x1
860	Jan Gerth de Woerden	Jan Ghert de Woerden	10x1
860	Jan van Werden	Jan van Woenden	10x1
865	colonello Bür	colonnello Bür	10x1
871	Miller	Moller	06x1
871	Miller	Mille	07x1
871	Miller	Mille	08x2
871	Miller	Mille	09x1
871	Miller	Mille	11x1
871	Miller	Muller	06x5
871	Miller	Miler	11x1
871	Miller	Miler	12x1
873	un moscovita	moscovita	06x2
